Gene Symbol,Name,Entrez GeneId,Genome Location,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
CIC,capicua homolog,23152,19:42284705-42295191,19q13.2,yes,,"oligodendroglioma, soft tissue sarcoma",,,"O, M",Rec,,"Mis, F, S,T","DUX4L1, FOXO4",,,"23152,ENSG00000079432,KIAA0306,Q96RK0,CIC"
CIITA,"class II, major histocompatibility complex, transactivator",4261,16:10877332-10923304,16p13,yes,,"PMBL, Hodgkin lymphoma",,,L,Dom,,T,"C15orf55, CD274, PDCD1LG2, RALGDS, RUNDC2A, RMI2, BCL6",,,"4261,P33076,C2TA,MHC2TA,ENSG00000179583,CIITA"
CLIP1,CAP-GLY domain containing linker protein 1,6249,12:122272875-122380452,12q24.3,yes,,Spitzoid tumour,,,E,Dom,,T,ROS1,,,"6249,ENSG00000130779,CLIP,CLIP-170,CLIP170,CYLN1,MGC131604,RSN,P30622,CLIP1"
CLP1,cleavage and polyadenylation factor I subunit 1,10978,11:57659477-57661436,11q12,yes,,AML,,,L,Dom,,T,KMT2A,,,"10978,hClp1,HEAB,Q92989,ENSG00000172409,CLP1"
CLTC,"clathrin, heavy polypeptide (Hc)",1213,17:59620133-59693853,17q11-qter,yes,,"ALCL, renal",,,L,Dom,,T,"ALK, TFE3",,,"1213,CLTCL2,Q00610,ENSG00000141367,CLTC"
CLTCL1,"clathrin, heavy polypeptide-like 1",8218,22:19180219-19291641,22q11.21,yes,,ALCL,,,L,Dom,,T,?,,,"8218,CLTCL,P53675,ENSG00000070371,CLTCL1"
CNBP,"CCHC-type zinc finger, nucleic acid binding protein",7555,3:129170453-129171757,3q21,yes,,aneurysmal bone cyst,,,M,Dom,,T,USP6,,,"7555,P62633,CNBP,DM2,RNF163,ZNF9,ENSG00000169714,ZNF9"
CNOT3,CCR4-NOT transcription complex subunit 3,4849,19:54142979-54155407,19q13.4,yes,,T-ALL,,,L,Rec,,"Mis, N, F",,,,"4849,KIAA0691,LENG2,NOT3,NOT3H,O75175,ENSG00000088038,CNOT3"
CNTRL,centriolin,11064,9:121088328-121177187,9q33.2,yes,,"MPN, NHL",,,L,Dom,,T,FGFR1,,,"CEP110,CEP1,ENSG00000119397,11064,CEP110"
COL1A1,"collagen, type I, alpha 1",1277,17:50185502-50201513,17q21.31-q22,yes,,"DFSP, aneurysmal bone cyst",,,M,Dom,,T,"PDGFB, USP6",yes,Osteogenesis imperfecta,"1277,P02452,OI4,ENSG00000108821,COL1A1"
COL2A1,"collagen, type II, alpha 1",1280,12:47973407-48004321,12q13.11,yes,,"chondrosarcoma, enchondroma",,,"L, E, M",Rec,,"F, Mis, N, T",,yes,"Spondyloepiphyseal Dysplasia Congenita, Achondrogenesis Type II, Stickler Syndrome, Type I and others","SEDC,COL2A1,1280,ENSG00000139219,ANFH,AOM,COL11A3,MGC131516"
COX6C,cytochrome c oxidase subunit VIc,1345,8:99878148-99892021,8q22-q23,yes,,uterine leiomyoma,,,M,Dom,,T,HMGA2,,,"1345,P09669,ENSG00000164919,COX6C"
CREB1,cAMP responsive element binding protein 1,1385,2:207555637-207597059,2q34,yes,,"clear cell sarcoma, angiomatoid fibrous histiocytoma",,,M,Dom,,T,EWSR1,,,"CREB1,ENSG00000118260,1385"
CREB3L1,cAMP responsive element binding protein 3-like 1,90993,11:46278112-46320746,11p11.2,yes,,myxofibrosarcoma,,,M,Dom,,T,FUS,,,"90993,CREB3L1,ENSG00000157613,OASIS,Q96BA8"
CREB3L2,cAMP responsive element binding protein 3-like 2,64764,7:137880476-138001705,7q34,yes,,fibromyxoid sarcoma,,,M,Dom,,T,FUS,,,"CREB3L2,MGC131709,MGC71006,BBF2H7,TCAG_1951439,ENSG00000182158,64764"
CREBBP,CREB binding protein (CBP),1387,16:3727718-3879916,16p13.3,yes,,"ALL, AML, DLBCL, B-NHL",,,L,Dom/Rec,,"T, N, F, Mis, O","KMT2A, MORF, KAT6A",yes,Rubinstein-Taybi syndrome,"1387,CBP,RTS,RSTS,ENSG00000005339,CREBBP"
CRLF2,cytokine receptor-like factor 2,64109,"X,Y:1196780-1212634","Xp22.3; Yp11.3",yes,,"B-ALL, Downs associated ALL",,,L,Dom,,"Mis, T","P2RY8, IGH",,,"64109,ENSG00000205755,CRLF2"
CRTC1,CREB regulated transcription coactivator 1,23373,19:18683703-18777382,19p13.11,yes,,salivary gland mucoepidermoid,,,E,Dom,,T,MAML2,,,"23373,Q6UUV9,FLJ14027,WAMTP1,MECT1,TORC1,KIAA0616,ENSG00000105662,CRTC1"
CRTC3,CREB regulated transcription coactivator 3,64784,15:90530072-90642140,15q26.1,yes,,salivary gland mucoepidermoid,,,E,Dom,,T,MAML2,,,"64784,FLJ21868,TORC3,ENSG00000140577,CRTC3"
CSF3R,colony stimulating factor 3 receptor (granulocyte),1441,1:36466357-36479496,1p35-p34.4,yes,,"aCML, CNL,  leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS",,,L,Dom,,"N, Mis, S, O",,yes,"Kostmann syndrome, severe congenital neutropenia","1441,CD114,GCSFR,ENSG00000119535,CSF3R"
CTCF,CCCTC-binding factor,10664,16:67610833-67637872,16q22.1,yes,,"endometrial, breast, head and neck cancer",,,E,Dom,TSG,"Mis, N",,,"Mental retardation, autosomal dominant 21","10664,P49711,ENSG00000102974,CTCF"
CTNNB1,"catenin (cadherin-associated protein), beta 1",1499,3:41224069-41239342,3p22-p21.3,yes,,"colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types",,,"E, M, O",Dom,oncogene,"Mis, O, T",PLAG1,,,"CTNNB1,P35222,CTNNB,ENSG00000168036,1499"
CUX1,cut-like homeobox 1,1523,7:101817640-102249042,7q22.1,yes,,"endometrial, melanoma, colorectal, AML, MDS, other tumour types",,,"E,L,M,O",Dom,,"N,F,S,Mis,O,T",CLDN7,,,"P39880,ENSG00000160967,CUX1,1523,CASP,CDP,COY1,CUX,Nbla10317,p100,p110,p200,p75"
CXCR4,C-X-C motif chemokine receptor 4,7852,2:136114869-136115939,2q21,yes,yes,Waldenstrom macroglobulinaemia,,,L,Dom,oncogene,"Mis, N",,,,"7852,D2S201E,CD184,FB22,NPYR,WHIM,fusin,LCR1,HSY3RR,LESTR,NPYRL,HM89,NPY3R,NPYY3R,P61073,ENSG00000121966,CXCR4"
CYLD,familial cylindromatosis gene,1540,16:50749699-50796508,16q12-q13,yes,yes,cylindroma,cylindroma,familial cylindromatosis,E,Rec,TSG,"Mis, N, F, S",,,,"1540,CYLD1,EAC,FLJ20180,FLJ31664,HSPC057,CDMT,CYLDI,KIAA0849,USPL2,ENSG00000083799,CYLD"
DAXX,death-domain associated protein,1616,6:33318743-33321925,6p21.3,yes,,"pancreatic neuroendocrine tumour, paediatric glioblastoma",,,E,Rec,,"Mis, F, N",,,,"DAXX,BING2,DAP6,DAQB-126H3_2,MGC126245,Q9UER7,MGC126246,ENSG00000206206,1616"
DCTN1,dynactin 1,1639,2:74361499-74380037,2p13,yes,,"inflammatory myofibroblastic tumour, Spitzoid tumour",,,M,Dom,,T,"ALK, ROS1",yes,"Distal hereditary motor neuronopathy, susceptibility to amyotrophic lateral sclerosis, Perry syndrome","1639,DAP-150,DP-150,P135,Q14203,ENSG00000204843,DCTN1"
DDB2,damage-specific DNA binding protein 2,1643,11:47215137-47238849,11p12,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (E),E,Rec,,"Mis, N",,,,"DDB2,Q92466,FLJ34321,ENSG00000134574,1643"
DDIT3,DNA-damage-inducible transcript 3,1649,12:57516809-57517406,12q13.1-q13.2,yes,,liposarcoma,,,M,Dom,,T,"FUS, EWSR1",,,"DDIT3,CHOP,P35638,CHOP10,GADD153,MGC4154,_C/EBP zeta_,ENSG00000175197,1649"
DDX10,DEAD (Asp-Glu-Ala-Asp) box polypeptide 10,1662,11:108665154-108940423,11q22-q23,yes,,AML*,,,L,Dom,,T,NUP98,,,"1662,HRH-J8,Q13206,ENSG00000178105,DDX10"
DDX5,DEAD (Asp-Glu-Ala-Asp) box polypeptide 5,1655,17:64499923-64506119,17q21,yes,,prostate,,,E,Dom,,T,ETV4,,,"1655,HLR1,HUMP68,G17P1,p68,DKFZp686J01190,P17844,ENSG00000108654,DDX5"
DDX6,DEAD (Asp-Glu-Ala-Asp) box polypeptide 6,1656,11:118754712-118786218,11q23.3,yes,,B-NHL,,,L,Dom,,T,IGH,,,"DDX6,P54,FLJ36338,RCK,P26196,HLR2,ENSG00000110367,1656"
DEK,DEK oncogene (DNA binding),7913,6:18225719-18263987,6p23,yes,,AML,,,L,Dom,,T,NUP214,,,"7913,D6S231E,P35659,ENSG00000124795,DEK"
DICER1,"dicer 1, ribonuclease type III",23405,14:95090498-95133458,14q32.13,yes,yes,"sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types",pleuropulmonary blastoma,familial pleuropulmonary blastoma or DICER1 syndrome,"E, M, O",Rec,TSG,"Mis, F, N",,,,"23405,Dicer,K12H4_8-LIKE,Q9UPY3,HERNA,KIAA0928,ENSG00000100697,DICER1"
DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,3337,19:14515940-14518349,19p13.2,yes,,fibrolamellar hepatocellular carcinoma,,,E,Dom,,T,PRKACA,,,"DNAJB1,HSPF1,Hsp40,Hdj1,P25685,ENSG00000132002,3337"
DNM2,dynamin 2,1785,19:10718243-10831047,19p13.2,yes,,T-ALL,,,L,Rec,,"F, N, S, Mis, O",,yes,"Charcot-Marie-Tooth disease, centronuclear myopathy,  lethal congenital contracture syndrome 5","1785,CMTDI1,CMTDIB,DYN2,DYNII,ENSG00000079805,DNM2"
DNMT3A,DNA (cytosine-5-)-methyltransferase 3 alpha,1788,2:25234279-25313984,2p23,yes,,AML,,,L,Dom,TSG,"Mis, F, N, S",,,,"DNMT3A,Q9Y6K1,M_HsaIIIA,DNMT3A2,ENSG00000119772,1788"
DUX4L1,double homeobox 4 like 1,22947,4:190084229-190085686,4q35,yes,,soft tissue sarcoma,,,M,Dom,,T,CIC,,,"P0CJ90,DUX4,22947,DUX4L1,P0CJ85,P0CJ86,P0CJ88,P0CJ89"
EBF1,early B-cell factor 1,1879,5:158699111-159099478,5q34,yes,,lipoma,,,M,Dom,,T,HMGA2,,,"1879,COE1,EBF,O/E-1,OLF1,Q9UH73,ENSG00000164330,EBF1"
ECT2L,epithelial cell transforming sequence 2 oncogene-like,345930,6:138813275-138902627,6q24.1,yes,,ETP ALL,,,L,Rec,,"N, S, Mis",,,,"345930,C6orf91,ENSG00000203734,dJ509I19_2,dJ509I19_3,LFDH,Q008S8,C6orf91"
EGFR,"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)",1956,7:55019278-55205617,7p12.3-p12.1,yes,yes,"glioma, NSCLC",NSCLC,familial lung cancer,"E, O",Dom,,"A, O, Mis",,,,"EGFR,mENA,ERBB,ERBB1,P00533,ENSG00000146648,1956"
EIF3E,"eukaryotic translation initiation factor 3, subunit E",3646,8:108201885-108248702,8q22-q23,yes,,colorectal,,,E,Dom,,T,RSPO3,,,"EIF3S6,eIF3-p46,INT6,EIF3-P48,eIF3e,EIF3S6,ENSG00000104408,3646"
EIF4A2,"eukaryotic translation initiation factor 4A, isoform 2",1974,3:186783611-186789269,3q27.3,yes,,NHL,,,L,Dom,,T,BCL6,,,"1974,DDX2B,EIF4A,BM-010,EIF4F,ENSG00000156976,EIF4A2"
ELF4,E74-like factor 4 (ets domain transcription factor),2000,X:130066721-130081330,Xq26,yes,,AML,,,L,Dom,,T,ERG,,,"ELF4,MEF,Q99607,RP3-510O21_2,ELFR,ENSG00000102034,2000"
ELK4,"ELK4, ETS-domain protein (SRF accessory protein 1)",2005,1:205616546-205623882,1q32,yes,,prostate,,,E,Dom,,T,SLC45A3,,,"2005,SAP1,P28324,ENSG00000158711,ELK4"
ELL,ELL gene (11-19 lysine-rich leukemia gene),8178,19:18444752-18522055,19p13.1,yes,,AL,,,L,Dom,,T,KMT2A,,,"8178,P55199,Men,C19orf17,ELL1,ENSG00000105656,ELL"
ELN,elastin,2006,7:74028188-74068700,7q11.23,yes,,B-ALL,,,L,Dom,,T,PAX5,yes,"Supravalvular Aortic Stenosis, Cutis laxa , Williams-Beuren Syndrome","2006,ENSG00000049540,FLJ38671,FLJ43523,SVAS,WBS,WS,ELN"
EML4,echinoderm microtubule associated protein like 4,27436,2:42169613-42330208,2p21,yes,,NSCLC,,,E,Dom,,T,ALK,,,"EML4,ENSG00000143924,27436"
EP300,300 kd E1A-Binding protein gene,2033,22:41093005-41178956,22q13,yes,,"colorectal, breast, pancreatic, AML, ALL, DLBCL",,,"L, E",Rec,,"T,  N, F, Mis, O","KMT2A, KAT6A",,,"2033,ENSG00000100393,p300,RP1-85F18_1,EP300"
EPS15,epidermal growth factor receptor pathway substrate 15 (AF1p),2060,1:51356700-51519231,1p32,yes,,ALL,,,L,Dom,,T,KMT2A,,,"EPS15,AF-1P,AF1P,MLLT5,P42566,ENSG00000085832,2060"
ERBB2,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",2064,17:39700239-39728044,17q21.1,yes,,"breast, ovarian, other tumour types, NSCLC, gastric",,,E,Dom,oncogene,"A, Mis, O",,,,"ERBB2,c-erb B2,HER-2,NGL,NEU,TKR1,HER2,HER-2/neu,c-erbB2,ENSG00000141736,P04626,2064"
ERBB3,erb-b2 receptor tyrosine kinase 3,2065,12:56080301-56102055,12q13,yes,,"colon, gastric, head and neck, bladder, skin",,,E,Dom,oncogene,"Mis, N",,,,"ERBB3,c-erbB3,erbB3-S,ENSG00000065361,p45-sErbB3,MGC88033,p85-sErbB3,HER3,MDA-BF-1,ErbB-3,c-erbB-3,p180-ErbB3,P21860,2065"
ERBB4,erb-b2 receptor tyrosine kinase 4,2066,2:211383615-212538530,2q33.3-q34,yes,yes,"melanoma, gastric, NSCLC",,,E,Dom,oncogene/TSG,"Mis, N",,yes,Amyotrophic lateral sclerosis 19,"ERBB4,MGC138404,HER4,p180erbB4,Q15303,ENSG00000178568,2066"
ERC1,ELKS/RAB6-interacting/CAST family member 1,23085,12:1027904-1490230,12p13.3,yes,,"papillary thyroid, Spitzoid tumour",,,E,Dom,,T,"RET, ROS1",,,"ERC1,ELKS,KIAA108,Q8IUD2,Cast2,KIAA1081,RAB6IP2,MGC12974,ENSG00000082805,23085"
ERCC2,"excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)",2068,19:45351629-45370237,19q13.2-q13.3,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (D),E,Rec,TSG,"Mis, N, F, S",,,,"ERCC2,TTD,EM9,MGC126218,MGC126219,XPD,MGC102762,P18074,COFS2,ENSG00000104884,2068"
ERCC3,"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)",2071,2:127257596-127294081,2q21,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (B),E,Rec,,"Mis, S",,,,"ERCC3,RAD25,XPB,P19447,BTF2,TFIIH,GTF2H,ENSG00000163161,2071"
ERCC4,"excision repair cross-complementing rodent repair deficiency, complementation group 4",2072,16:13920166-13948347,16p13.3-p13.13,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (F),E,Rec,,"Mis, N, F",,,,"ERCC4,XPF,Q92889,ENSG00000175595,2072"
ERCC5,"excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))",2073,13:102846267-102875903,13q33,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (G),E,Rec,,"Mis, N, F",,,,"2073,XPGC,ERCM2,UVDR,XPG,COFS3,RP11-484I6_5,ENSG00000134899,ERCC5"
ERG,v-ets erythroblastosis virus E26 oncogene like (avian),2078,21:38383403-38575700,21q22.3,yes,,"Ewing sarcoma, prostate, AML",,,"M, E, L",Dom,,T,"EWSR1, TMPRSS2, ELF4, FUS, HERPUD1, NDRG1",,,"ERG,P11308,2078"
ESR1,estrogen receptor 1,2099,6:151807913-152098966,6q25.1,yes,,breast,,,E,Dom,,Mis,,,,"2099,ESR,Era,ER,DKFZp686N23123,ESRA,NR3A1,RP1-130E4_1,ENSG00000091831,ESR1"
ETNK1,ethanolamine kinase 1,55500,12:22625164-22684954,12p12.1,yes,,"aCML, CMML, SM-AHD, HES",,,L,Dom,,Mis,,,,"55500,ENSG00000139163,EKI,EKI1,Nbla10396,Q9HBU6,ETNK1"
ETV1,ets variant gene 1,2115,7:13895866-13989052,7p22,yes,,"Ewing sarcoma, prostate",,,"M, E",Dom,,T,"EWSR1, TMPRSS2, SLC45A3, HMGN2P46, HNRNPA2B1. ACSL3",,,"2115,DKFZp781L0674,MGC120534,MGC104699,MGC120533,ER81,ENSG00000006468,ETV1"
ETV4,"ets variant gene 4 (E1A enhancer binding protein, E1AF)",2118,17:43528519-43545617,17q21,yes,,"Ewing sarcoma, prostate carcinoma",,,"M, E",Dom,,T,"EWSR1, TMPRSS2, DDX5, KLK2, CANT1",,,"ETV4,PEA3,PEAS3,E1A-F,E1AF,ENSG00000175832,2118"
ETV5,ets variant gene 5,2119,3:186048639-186105868,3q28,yes,,prostate,,,E,Dom,,T,"TMPRSS2, SCL45A3",,,"2119,P41161,ERM,ENSG00000244405,ETV5"
ETV6,ets variant gene 6 (TEL oncogene),2120,12:11650128-11891046,12p13,yes,,"congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS",,,"L, E, M",Dom,,T,"NTRK3, RUNX1, PDGFRB, ABL1, MN1, ABL2, ACSL6, CHIC2, ARNT, JAK2, MECOM, CDX2, RNF217-AS1, MNX1, MDS2, PER1, SYK, TTL, FGFR3, PAX5",,,"2120,TEL/ABL,TEL,P41212,ENSG00000139083,ETV6"
EWSR1,Ewing sarcoma breakpoint region 1 (EWS),2130,22:29268337-29300161,22q12,yes,,"Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma",,,"L, M, E",Dom,,T,"FLI1, ERG, NR4A3, FEV, ATF1, ETV1, ETV4, WT1, ZNF384, CREB1, POU5F1,  PBX1, NFATC1, NFATC2, DDIT3, PATZ1, SMARCA5, SP3, ZNF444, YY1",,,"EWSR1,EWS,ENSG00000182944,2130"
EXT1,multiple exostoses type 1 gene,2131,8:117799712-118111046,8q24.11-q24.13,,yes,,"exostoses, osteosarcoma",multiple exostoses type 1,M,Rec,,"Mis, N, F, S",,,,"EXT1,ttv,Q16394,EXT,ENSG00000182197,2131"
EXT2,multiple exostoses type 2 gene,2132,11:44107713-44244287,11p12-p11,,yes,,"exostoses, osteosarcoma",multiple exostoses type 2,M,Rec,,"Mis, N, F, S",,,,"ENSG00000151348,Q93063,SOTV,EXT2,2132"
EZH2,enhancer of zeste homolog 2,2146,7:148807646-148847298,7q35-q36,yes,,DLBCL,,,L,Dom,oncogene/TSG,Mis,,,,"2146,ENX-1,MGC9169,Q15910,ENSG00000106462,EZH2"
EZR,ezrin,7430,6:158766914-158818093,6q25.3,yes,,NSCLC,,,E,Dom,oncogene,T,ROS1,,,"7430,CVIL,CVL,DKFZp762H157,FLJ26216,MGC1584,P15311,ENSG00000092820,EZR"
FAM131B,"family with sequence similarity 131, member B",9715,7:143356550-143360093,7q34,yes,,pilocytic astrocytoma,,,O,Dom,,T,BRAF,,,"Q86XD5,FAM131B,9715,KIAA0773"
FAM46C,"family with sequence similarity 46, member C",54855,1:117622869-117624044,1p12,yes,,MM,,,L,Rec,,"Mis, F, O",,,,"Q5VWP2,FAM46C,54855,ENSG00000183508,FLJ20202"
FANCA,"Fanconi anemia, complementation group A",2175,16:89738601-89816615,16q24.3,,yes,,"AML, leukaemia",Fanconi anaemia A,L,Rec,,"D, Mis, N, F, S",,,,"2175,MGC75158,FACA,FA1,FANCH,FAA,FA,FA-H,ENSG00000187741,FANCA"
FANCC,"Fanconi anemia, complementation group C",2176,9:95101707-95249291,9q22.3,,yes,,"AML, leukaemia",Fanconi anaemia C,L,Rec,,"D, Mis, N, F, S",,,,"FANCC,ENSG00000158169,FLJ14675,FACC,FA3,FAC,RP11-80I15_2,2176"
FANCD2,"Fanconi anemia, complementation group D2",2177,3:10028658-10098950,3p26,,yes,,"AML, leukaemia",Fanconi anaemia D2,L,Rec,,"D, Mis, N, F",,,,"2177,FANCD,DKFZp762A223,FAD2,FA-D2,FA4,FACD,FAD,FLJ23826,ENSG00000144554,FANCD2"
FANCE,"Fanconi anemia, complementation group E",2178,6:35452546-35466345,6p21-p22,,yes,,"AML, leukaemia",Fanconi anaemia E,L,Rec,,"N, F, S",,,,"FANCE,FACE,FAE,ENSG00000112039,2178"
FANCF,"Fanconi anemia, complementation group F",2188,11:22624686-22625810,11p15,,yes,,"AML, leukaemia",Fanconi anaemia F,L,Rec,,"N, F",,,,"FANCF,FAF,MGC126856,Q9NPI8,ENSG00000183161,2188"
FANCG,"Fanconi anemia, complementation group G",2189,9:35074108-35079524,9p13,,yes,,"AML, leukaemia",Fanconi anaemia G,L,Rec,,"Mis, N, F, S",,,,"FANCG,ENSG00000221829,FAG,XRCC9,O15287,2189"
FAS,Fas cell surface death receptor,355,10:88990877-89014450,10q24.1,yes,,"TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related",,,"L, E, O",Rec,,Mis,,yes,Autoimmune lymphoproliferative syndrome,"FAS,FAS1,APT1,TNFRSF6,ALPS1A,CD95,P25445,APO-1,FASTM,ENSG00000026103,355"
FAT1,FAT atypical cadherin 1,2195,4:186588592-186709827,4q35.2,yes,yes,"oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma",pancreatic,,"E, L",,TSG,"Mis, N, F, S",,,,"2195,CDHF7,CDHR8,hFat1,ME5,FAT1"
FAT4,FAT atypical cadherin 4,79633,4:125316412-125491768,4q28.1,yes,,"lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma",,,"E, L",,TSG,"Mis, N",,yes,"Hennekam lymphangiectasia-lymphedema syndrome 2, Van Maldergem syndrome 2","79633,ENSG00000196159,FAT4"
FBXO11,F-box protein 11,80204,2:47808118-47839749,2p16.3,yes,,DLBCL,,,L,Rec,,"Mis, F, D",,,,"80204,MGC44383,FBX11,FLJ12673,PRMT9,UG063H01,VIT1,Q86XK2,ENSG00000138081,FBXO11"
FBXW7,"F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)",55294,4:152322881-152411803,4q31.3,yes,,"colorectal, endometrial, T-ALL",,,"E, L",Rec,,"Mis, N, D, F",,,,"55294,AGO,FBX30,DKFZp686F23254,FBW7,SEL10,FBXW6,CDC4,SEL-10,FLJ11071,ENSG00000109670,FBXW7"
FCGR2B,"Fc fragment of IgG, low affinity IIb, receptor for (CD32)",2213,1:161663242-161677553,1q23,yes,,ALL,,,L,Dom,,T,?,,,"2213,FCGR2,FCG2,IGFR2,P31994,CD32B,CD32,ENSG00000072694,FCGR2B"
FCRL4,Fc receptor-like 4,83417,1:157575524-157597944,1q21,yes,,B-NHL,,,L,Dom,,T,IGH,,,"83417,FCRH4,IGFP2,IRTA1,ENSG00000163518,FCRL4"
FEV,FEV protein - (HSRNAFEV),54738,2:218981667-218985075,2q36,yes,,Ewing sarcoma,,,M,Dom,,T,"EWSR1,  FUS",,,"FEV,Pet-1,HSRNAFEV,PET-1,ENSG00000163497,54738"
FGFR1,fibroblast growth factor receptor 1,2260,8:38413628-38457446,8p11.2-p11.1,yes,,"MPN, NHL, salivary adenoma",,,L,Dom,,T,"BCR, FOP, ZMYM2, CNTRL, PLAG1",yes,"Pfeiffer syndrome, Kallman syndrome","2260,CEK,H4,N-SAM,BFGFR,H2,KAL2,H5,FGFBR,HBGFR,H3,CD331,FLT2,P11362,ENSG00000077782,FGFR1"
FGFR1OP,FGFR1 oncogene partner (FOP),11116,6:166999414-167039979,6q27,yes,,"MPN, NHL",,,L,Dom,,T,FGFR1,,,"FGFR1OP,FOP,ENSG00000213066,11116"
FGFR2,fibroblast growth factor receptor 2,2263,10:121479857-121593817,10q26,yes,,"gastric, NSCLC, endometrial",,,E,Dom,,Mis,,yes,"Crouzon, Pfeiffer, and Apert syndromes","2263,BFR-1,KGFR,CFD1,K-SAM,CEK3,ECT1,TK25,JWS,CD332,BEK,TK14,ENSG00000066468,FGFR2"
FGFR3,fibroblast growth factor receptor 3,2261,4:1793935-1807262,4p16.3,yes,,"bladder, MM, T-cell lymphoma",,,"L, E",Dom,,"Mis, T","IGH, ETV6",yes,"Hypochondroplasia, Thanatophoric dysplasia","FGFR3,CD333,CEK2,HSFGFR3EX,ACH,JTK4,P22607,ENSG00000068078,2261"
FGFR4,fibroblast growth factor receptor 4,2264,5:177089603-177097676,5q35.2,yes,,rhabdomyosarcoma,,,M,Dom,,Mis,,,,"FGFR4,CD334,JTK2,TKF,MGC20292,P22455,ENSG00000160867,2264"
FH,fumarate hydratase,2271,1:241497828-241519722,1q42.1,,yes,,"leiomyomatosis, renal",hereditary leiomyomatosis and renal cell cancer,"E, M",Rec,,"Mis, N, F",,,,"FH,HLRCC,P07954,LRCC,MCL,MCUL1,ENSG00000091483,2271"
FHIT,fragile histidine triad gene,2272,3:59752226-60536962,3p14.2,yes,,pleomorphic salivary gland adenoma,,,E,Dom,,T,HMGA2,,,"P49789,FHIT,2272,ENSG00000189283,AP3Aase,FRA3B"
FIP1L1,FIP1 like 1 (S. cerevisiae),81608,4:53377840-53459450,4q12,yes,,idiopathic hypereosinophilic syndrome,,,L,Dom,,T,PDGFRA,,,"FIP1L1,DKFZp586K0717,Q6UN15,ENSG00000145216,81608"
FLCN,folliculin,201163,17:17213655-17228137,17p11.2,,yes,,"renal, fibrofolliculomas, trichodiscomas",Birt-Hogg-Dube syndrome,"E, M",Rec,,"Mis. N, F",,,,"201163,BHD,FLCL,MGC17998,MGC23445,ENSG00000154803,FLCN"
FLI1,Friend leukemia virus integration 1,2313,11:128694259-128810988,11q24,yes,,Ewing sarcoma,,,M,Dom,,T,EWSR1,,,"2313,SIC-1,EWSR2,Q01543,ENSG00000151702,FLI1"
FLT3,fms-related tyrosine kinase 3,2322,13:28004052-28100510,13q12,yes,,"AML, ALL",,,L,Dom,oncogene,"Mis, O",,,,"2322,STK1,RP11-153M24_3,CD135,FLK2,P36888,ENSG00000122025,FLT3"
FLT4,fms-related tyrosine kinase 4,2324,5:180608281-180649545,5q35.3,yes,,soft tissue sarcoma,,,M,Dom,,,,,,"2324,FLT41,PCL,VEGFR3,P35916,ENSG00000037280,FLT4"
FNBP1,formin binding protein 1 (FBP17),23048,9:93562241-93674930,9q23,yes,,AML,,,L,Dom,,T,KMT2A,,,"BCAR3,NSP2,KIAA0554,SH2D3B,ENSG00000137936,8412"
FOXA1,forkhead box A1,3169,14:37591365-37594972,14q12-q13,yes,,"breast, prostate",,,E,Dom,,"Mis, F",,,,"3169,TCF3A,MGC33105,HNF3A,P55317,ENSG00000129514,FOXA1"
FOXL2,forkhead box L2,668,3:138945592-138946722,3q23,yes,,granulosa-cell tumour of the ovary,,,O,Dom,,Mis,,yes,"Blepharophimosis, ptosis and epicanthus inversus Types I, II; Premature ovarian failure type III","668,BPES,BPES1,PINTO,POF3,PFRK,P58012,ENSG00000183770,FOXL2"
